中文名称,同义名称,英文名称,表达符号,数据类型,类词,长度,值域,计量单位,定义,参考来源,参考来源MJ,描述对象,所属分类
水域所属气候带和所属气候大区代码,,,,二进制型,代码,2,{TAB1|E01003},无,水域所在地的气候带和气候大区的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域面积,,,,数值型,面积,2,"(0,999999999.999)",平方米,水域所占面积大小,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域平均,,,,数值型,线度,12.3,"(0,999999999.999)",米,水域的平均水位,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域水量,,,,数值型,线度,12.3,自由文本,立方米,指水域的范围内存水的总量,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域最大流量,,,,布尔型,比率,10,"(0,9999999999)",立方米每秒,有记录以来，通过水域某一过水断面的虽大水量,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域汛期时段,,,,字符串型,文本,0..50,无,无,由于流域内季节性降水、融冰、化学，引起定时性水位上涨的时段,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域地表水冻结平均厚度,,,,数值型,线度,12.3,"(0,999999999.999)",℃,有水文记录以来，地表水冻结的平均厚度,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域地表水冻结平均时段,,,,数值型,线度,12.3,自由文本,无,有水文记录以来，地表水冻结的平均时段,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域功能分类,,,,字符串型,文本,0,{TAB1|E01006},无,依据地表水水域环境功能和保护目标，按功能高低依次划分的标准名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域功能分类代码,,,,二进制型,代码,2,{TAB1|E01006},无,水域功能分类对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
湖泊化学性质分类,,,,字符串型,文本,2,{TAB1|E01007},无,表示湖泊谁化学性质分类等状况的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
湖泊化学性质分类代码,,,,字符串型,代码,2,{TAB1|E01007},米,湖泊水化学性质分类对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
海洋地貌分类名称,,,,布尔型,名称,0..50,自由文本,无,GB/T18190规定的海洋地貌名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
-,,,,数值型,线度,12.3,"(0,999999999.999)",米,海域所在地的平均水深,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
海水PH值,,,,数值型,比率,4.2,自由文本,无,海域所在地海水的平均PH值,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
海水年平均水温,,,,数值型,温度,2,"(0,99999.99)",摄氏度,有记录以来，海域所在地海水的年平均水温,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
海域最大风速,,,,二进制型,比率,6.2,"(0,9999.99)",米每秒,有记录以来，海域所在地的最大风速,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
海域最大浪高,,,,数值型,线度,0..100,"(0,999999999.999)",米,有记录以来，海域所在地的最大浪高,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
海域水质分类名称,,,,字符串型,名称,0..50,{TAB1|E01008},米,按照海域的不同使用功能和保护目标，划分的海水水质名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
海域水质分类代码,,,,二进制型,代码,2,{TAB1|E01008},无,海域水质分类对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
海域离岸距离,,,,数值型,线度,12.3,自由文本,千米,海域集合中心点距离海岸的最小距离,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑物占地面积,,,,布尔型,面积,12.3,"(0,999999999.999)",平方米,建筑物所占面积大小,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑面积,,,,数值型,面积,2,"(0,999999999.999)",平方米,建筑物各层水平面积的总和,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑,,,,数值型,线度,12.3,"(0,999999999.999)",米,按照GB500162014的附录A中方法得到的建筑区的竖直高度值、,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑层数,,,,数值型,数量,3,自由文本,层,按照GB500162014的附录A中方法得到的建筑物的层数,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑结构类型名称,,,,字符串型,名称,0..50,-,无,根据建筑的承重结构和维护结构划分的建筑结构类型名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑结构类型代码,,,,二进制型,代码,2,{TAB1|E01009},无,建筑结构类型对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑物抗震设防类别名称,,,,字符串型,名称,0..50,{TAB1|E01010},米,根据建筑遭遇地震破坏后，可能造成人员伤亡、直接和间接经济损失、社会影响的程度及其在抗震救灾中的作用等因素，虽各类建筑所做的设防类别划分的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑物抗震设防类别代码,,,,二进制型,代码,2,{TAB1|E01010},无,建筑物抗震设防类别对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑物耐火等级名称,,,,布尔型,名称,0..50,{TAB1|E01011},无,衡量建筑物耐火程度的分级标度的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑物耐火等级代码,,,,字符串型,代码,2,{TAB1|E01011},米,建筑物耐火等级对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
出人口,,,,数值型,线度,12.3,"(0,999999999.999)",米,建筑物出入口的最大高度,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑出人口最大宽度,,,,数值型,线度,12.3,自由文本,米,建筑物出入口的最大宽度,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
建筑物内水电气等设施情况,,,,字符串型,文本,2,自由文本,无,对建筑物内水电气等设施的说明,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
加油站等级名称,,,,字符串型,名称,0..50,-,无,根据油罐容积和单罐容积来划分的加油站等级名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
加油站等级代码,,,,二进制型,代码,2,{TAB1|E01012},无,加油站等级对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
加油站油品类型名称,,,,字符串型,名称,0..500,自由文本,米,加油站可供应的油品类型名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
加油站周边交通设施状况,,,,布尔型,文本,0..500,自由文本,无,加油站周边的交通设施状况的说明,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
服务区占地面积,,,,数值型,面积,2,"(0,999999999.999)",平方米,服务区所占面积大小,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
服务区道路广场、停车场用地面积,,,,二进制型,面积,12.3,"(0,999999999.999)",平方米,服务区道路广场、停车场的所用地面积大小],GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
服务区餐馆建筑规模等级名称,,,,字符串型,名称,0..50,"(0,999999999.999)",无,服务区内餐馆建筑规模的等级名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
服务区餐馆建筑规模等级代码,,,,字符串型,代码,2,自由文本,无,服务区内餐馆建筑规模的等级对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
服务区,,,,布尔型,文本,2,{是；否},无,服务区是否配备了充电站,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
服务区是否配备汽修站,,,,布尔型,文本,2,{是；否},米,服务区是否配备了汽修站,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
服务区服务区附属服务功能情况,,,,二进制型,文本,0..500,自由文本,无,服务区其他附属服务功能情况的说明,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
仓库类型名称,,,,字符串型,名称,2,{TAB1|E01014},无,根据仓库性质划分的仓库类型名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
仓库类型代码,,,,字符串型,代码,2,{TAB1|E01014},米,仓库类型对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
通用仓库等级名称,,,,二进制型,名称,0..50,{TAB1|E01015},无,根据通用仓库的设施条件、服务功能、服务质量、管理制度而评定划分的等级名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
通用仓库等级代码,,,,字符串型,代码,2,-,无,通用仓库等级对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
油库等级名称,,,,布尔型,名称,0..50,{TAB1|E01016},无,根据油罐容积和单罐容积来划分的加油站等级名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
油库等级代码,,,,字符串型,代码,2,{TAB1|E01016},米,油库等级对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
仓库占地面积,,,,数值型,面积,12.3,自由文本,无,仓库所占面积的大小,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
描述,,,,字符串型,文本,0..500,自由文本,无,仓库储存能力的描述],GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
仓库收发作业能力描述,,,,二进制型,文本,0..500,自由文本,无,仓库收发作业能力的描述,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
物联网数据标识符,,,,字符串型,标识符,0..20,有采用的物联网标识标准确定,km,物联网数据的唯一标识,GB_T36478.3-2019 物联网信息交换和共享第3部分：元数据,公开,核心元数据,资产管理元数据
物联网数据名称,,,,字符串型,名称,0..20,YYYY-MM-DD,无,物联网数据的名称,GB_T36478.3-2019 物联网信息交换和共享第3部分：元数据,公开,核心元数据,资产管理元数据
物联网数据采集时间,,,,时间型,日期,8,YYYY-MM-DD,无,感知设备所采集的物联网数据时间,GB_T36478.3-2019 物联网信息交换和共享第3部分：元数据,公开,核心元数据,资产管理元数据
物联网数据关键字,,,,布尔型,文本,0..20,不限长文本,无,描述物联网数据主题的词语,GB_T36478.3-2019 物联网信息交换和共享第3部分：元数据,公开,核心元数据,资产管理元数据
物联网数据传送方式,,,,字符串型,文本,0..20,不限长文本,米,获取物联网数据的传送方式,GB_T36478.3-2019 物联网信息交换和共享第3部分：元数据,公开,核心元数据,资产管理元数据
感知对象_,,,,字符串型,文本,2,不限长文本,无,物联网数据采集的对象,GB_T36478.3-2019 物联网信息交换和共享第3部分：元数据,公开,核心元数据，感知对象,资产管理元数据
科技人才ID,,,,字符串型,标识符,0..20,-,无,赋予科技人才的唯一标识符识符,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的姓名,,,,布尔型,名称,0..20,自由文本,无,科技人才的姓名全称,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的性别,,,,字符串型,文本,0..20,自由文本,km,科技人才的性别属性,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才出生年月,,,,日期时间型,日期,21,自由文本,无,科技人才出生日期,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的国籍,,,,布尔型,名称,0..20,自由文本,无,科技人才的国籍,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
研究方向,,,,字符串型,文本,1,自由文本,无,研究方向,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
学位,,,,字符串型,文本,0..20,YYYY-MM-DD,无,获得的最高学位,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
最大学历,,,,字符串型,文本,0..20,自由文本,无,获得的最高学历,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的专业技术职称,,,,数值型,名称,0..20,自由文本,无,科技人才目前获得的专业技术职称,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的联系方式,,,,数值型,文本,0..12,自由文本,无,科技人才的联系方式,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的数据来源,,,,数值型,文本,0..20,自由文本,无,科技人才信息的起始来源,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的工作履历,,,,字符串型,文本,0..255,123,无,科技人才的工作经历,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的社会/学术任职,,,,字符串型,文本,0,自由文本,无,科技人才在学术组织、社会团体等任职情况,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的教育经历,,,,字符串型,文本,0..20,YYYY-MM-DD,无,指科技人才的教育经历,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的培训交流经历,,,,二进制型,文本,0..20,自由文本,无,描述科技人才未获得学历学位的教育经历，包括但不限于以下内容：就读院校、开始时间、结束时间、学习专业或者内容、获得证书或者资质。(含海外),GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的专长,,,,字符串型,文本,0,自由文本,无,描述科技人才工作中的技术等专长，包括但不限于以下内容：专业技术、语言、水平等级,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的奖励信息,,,,字符串型,文本,0..20,123,无,科技人才获得的奖励信息,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的荣誉信息,,,,二进制型,文本,0..20,自由文本,无,指科技人才获得的荣誉信息,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技的惩罚信息,,,,字符串型,文本,0..20,自由文本,无,科技人才获得的惩罚信息,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
参与科技人才的课题项目,,,,字符串型,名称,0..20,123,无,科技人才参与或主持的项目信息,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的出版专著,,,,布尔型,名称,0..20,自由文本,无,科技人才出版的专著或者编著图书信息,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的发表论文,,,,字符串型,名称,0..20,2023年1月1日,无,科技人才在国内刊物发表文献信息,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的发明专利,,,,二进制型,名称,0..20,自由文本,无,科技人才发明专利情况,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的科技报告,,,,字符串型,名称,0..20,年月日,无,科技人才参与撰写的科技报告,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技诚信,,,,字符串型,名称,0..20,自由文本,无,科技人才在科研活动和学术研究中的诚信记录,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才ID,,,,数值型,标识符,0..20,自由文本,无,指科技人才的唯一身份标识，是对科技人才重名的解决机制。建议采用符合规范标识体系的字符串进行标识，并使用全局统一的编码规则。科技人才ID为全局变量,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
ORCID标识符,,,,字符串型,标识符,0..20,字符串,无,ORCID注册系统里的标识符，用于和国际学术数据关联，可以将科技人才ID和ORCID标识符合并其一,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
中文,,,,字符串型,名称,0..20,自由文本,无,人才中文姓名，可能重名,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
外文名称,,,,字符串型,名称,999,自由文本,无,外文名，可能重名，可以多值，用“;”分隔,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
性别,,,,自由文本,文本,0..20,自由文本,无,"该人基本生理特征，见GB/T2261.1一2003,取值：0一未知；1一男；2一女；9一不确定",GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
出生日期,,,,日期时间型,日期,8,2023年1月1日,无,见GB/T7408一2005中5.2.1.1扩展表示法YYYY-MM-DD，例如：1980-01-01。信息不全的日期建议采集到年份，采集不到信息用“9999”表示,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
国籍,,,,日期型,名称,0..20,自由文本,无,指科技人才持有护照的国家，科技人才为该国的合法公民。可以包括但不限于以下内容：目前国籍、曾经国籍、以及科技人才的双重国籍身份描述。见GB/T2659,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
研究,,,,字符串型,文本,0..20,自由文本,无,包括描述科技人才学习或者从事的研究方向，可以多值，用“;”分隔。可以自建受控词表，用于检索、分类统计和同行识别,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的最高学位,,,,字符串型,文本,888,自由文本,无,科技人才获得的最高学位，见GB/T6864,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
科技人才的学历,,,,字符串型,文本,0..20,自由文本,无,科技人才获得的最高学历，见GB/T4658,GB_T35397-2017 科技人才元数据元素集,公开,科技人才基本信息,人力资源元数据
报文头,,,,二进制型,文本,0..20,自由文本,无,"报文开始,给出报文标识、报文功能、报文参考号、交换双方的标识及报文生成日期/时间等",GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
报标识,,,,字符串型,标识符,0..20,自由文本,无,给出报文标识的名称和报文格式、版本等信息,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
报文功能,,,,字符串型,文本,0..20,2023年1月7日,无,给出报文的功能,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
发送方标识,,,,数值型,标识符,0..20,自由文本,无,"发送方的唯一标识,如组织机构代码",GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
接收方标识,,,,字符串型,标识符,0..20,自由文本,无,报文接收方的标识,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
报文生成日期,,,,日期时间型,日期,21,YYYY-MM-DD,无,该报文生成的日期和时间,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
报文体,,,,字符串型,文本,0..20,YYYY-MM-DD,无,报文中涉及科技平台元数据汇交业务的相关部分,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
签名信息,,,,数值型,文本,0..20,自由文本,无,"如需对报文进行数字签名,应采用W3C颁布的XML数字签名规范(W3CXMLsigna-turerecommendationon12February2002)进行加签处理",GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
的标识符,,,,字符串型,标识符,0..20,自由文本,无,科技资源的唯一标识编码,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
科技资源的名称,,,,布尔型,名称,0..20,自由文本,无,科技资源的名称,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
最近提交日期,,,,日期时间型,日期,8,2023年1月7日,无,最近一次提交核心元数据的日期,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
科技的描述,,,,字符串型,文本,0..20,自由文本,无,科技资源内容的综述性介绍。包括科技资源的来源、特征、指标、用途等,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
提交资源核心元数据的提交机构,,,,字符串型,名称,3333,自由文本,无,提交资源核心元数据的单位或机构,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
提名称,,,,字符串型,名称,0..20,自由文本,无,提交机构的组织机构名称,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
提交机构通信地址,,,,数值型,名称,0..20,自由文本,无,与提交机构联系的通信地址,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
提交机构邮政编码,,,,字符串型,代码,35485,自由文本,无,与提交机构通信地址相对应的邮政编码,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
提交机构联系电话,,,,字符串型,代码,8,"(0,99999999999)",无,提交机构联系人的联系电话,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
提交子邮箱,,,,字符串型,代码,0..20,自由文本,无,提交机构联系人的电子邮件地址,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
关键点,,,,字符串型,文本,0..20,自由文本,无,用于描述资源信息主题的通用词、形式化词或短语,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
访问限制,,,,123型,文本,0..20,自由文本,无,"为保护隐私权或知识产权,对访问资源信息施加的限制或约束",GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
资源类别,,,,268型,文本,0..20,自由文本,无,资源的分类信息,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
类目名称,,,,字符串型,名称,0..20,数值,无,用于描述资源主题的通用词、形式化词或短语,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
类目代码,,,,数值型,代码,8,"(0,99999999)",无,分类标准中类目名称对应的代码,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
分类标准名称,,,,字符串型,名称,0..20,日期,无,分类标准名称,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
分类嗯好的号,,,,字符串型,代码,0..20,自由文本,无,分类标准版本号,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
资源信息链接地址,,,,日期_,文本,0..20,自由文本,无,资源详细信息的有效绝对网络地址,GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
数字对签名,,,,字符串型,文本,0..20,自由文本,无,"如需对报文进行数字签名,应采用W3C颁布的XML数字签名规范(W3CXMLsignaturerecommendationon12February2002)进行加签处理",GB_T32846-2016 科技平台元数据汇交报文格式的设计规则,公开,报文结构及标记,通用质量特性要求元数据
科技报告题名,,,,字符串型,名称,5496,自由文本,无,科技报告题名,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告作者人地,,,,字符串型,名称,0..20,自由文本,无,创建科技报告知识内容的主要个人或团体,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告主题,,,,述职,名称,0..20,自由文本,无,科技报告的主题描述,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报高,,,,字符串型,文本,0..255,自由文本,无,科技报告的内容说明,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告相关日期,,,,日期时间型,日期,21,YYYY-MM-DD,无,记录与科技报告生命周期中某个事件相关的时间,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告格式,,,,第三方型,文本,0..255,自由文本,无,科技报告的文件格式、物理媒体或尺寸规格,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告标识符,,,,字符串型,标识符,0..20,YYYY-MM-DD,无,在特定范围内给予科技报告的一个明确的标识,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告语种,,,,字符串型,文本,165496,自由文本,无,描述科技报告的内容语种,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告关联数据的,,,,字符串型,文本,0..255,自由文本,无,与本科技报告具有同级关联关系的信息，如科技报告编号、项目课题名称及编号等,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
责任者顺序,,,,字符串型,文本,0..255,1564sdew4d6,无,作者在科技报告内容形成过程中通过区分所承担的不同职责，而形成的责任顺序,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告分类号树,,,,字符串型,代码,0..24,自由文本,无,根据特定分类法对科技报告赋予的分类标识,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告主题词,,,,二进制型,文本,0..255,自由文本,无,根据特定主题词表对科技报告进行标引所采用的词或短语,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告关键词,,,,儿进展型,文本,0..255,自由文本,无,由科技报告作者给出的表示科技报告内容主题的中英文词汇,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告目次,,,,字符串型,文本,0..255,年度符合你,无,组成科技报告的所有单元的列表,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告中的图表清单,,,,字符串型,文本,41564963,自由文本,无,科技报告中的图和表列表,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报报高附属说明,,,,字符串型,文本,0..255,自由文本,无,科技报告中的术语、缩略语、符号等说明,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告内容摘要,,,,日期型,文本,0..255,自由文本,无,科技报告内容的摘要,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告的特别声明,,,,字符串型,文本,数值,自由文本,无,与科技报告内容产生相关及其需要特别说明的相关信息,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告诉资助机构,,,,字符串型,文本,0..255,自由文本,无,产生科技报告的科技项目资助机构,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
科技报告的参考文献,,,,字符串型,文本,0..255,自由文本,篇数,科技报告所附参考文献列表,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
W3C-DTF,,,,字符串型,日期,8,YYYY-MM-DD,无,由万维网联盟（界30)制定的日期和时间的编码规则一基于ISO8601的一部分,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
